run,hiker,delta_x,delta_y,steps
8,1,-962.2384497108449,-274.2660258524571,444591
8,2,542.2126762723756,-840.730826787249,756748
8,3,303.89734746944254,-953.5618006181651,305095
5,1,993.9201715919,-114.40448373894938,867145
5,2,746.9343785525144,665.1358641763156,670390
5,3,-936.6999991285094,-351.308020909255,615163
2,1,-793.8268218200441,609.234515663085,974326
2,2,-319.6410774776272,-948.0250046016151,967629
2,3,268.16853186854564,963.8633915683615,523536
7,1,497.6370591320098,-868.0001583489758,1337859
7,2,-13.111762446234524,999.9331538079979,721045
7,3,-683.4016560890193,-730.3541128175242,163693
1,1,702.2572783707262,-712.3274604949366,345127
1,2,982.9164916187178,187.11884777639983,1505055
1,3,-891.2022808646411,-454.6288231119896,607432
6,1,401.95532656055116,915.698322557746,714748
6,2,-513.1172417622552,858.661518073321,799431
6,3,-971.7307259913348,236.65261509352615,1150489
4,1,-128.9451879190385,991.773311609079,505730
4,2,810.9788768039684,585.1434275999408,2198971
4,3,791.6748760101425,611.1295383121184,360242
14,1,1000.5099339242194,7.514281162590493,749745
14,2,-977.279959231297,212.31017262408167,727837
14,3,-684.8172691720416,-729.0906207025358,260185
12,1,46.292579539310594,-999.1118296424283,1161963
12,2,-423.5332947799102,-906.3142856197172,895814
12,3,994.7083462189769,-103.74627339689151,1833730
10,1,1000.5438848145781,-0.5735681319745112,664722
10,2,558.3686722923354,829.9292832940978,2475465
10,3,995.5920367697781,94.63752448307267,2182141
3,1,963.3703992242085,268.27817422673513,921365
3,2,238.1756297749365,-971.3288358294899,565939
3,3,-713.9758033167616,700.5033200605336,4032856
13,1,-999.2487201919962,41.898790386371196,1214469
13,2,-441.8300449434896,897.1760217889273,2293976
13,3,-521.6129774173277,-853.5389135119871,860900
15,1,-998.200011215085,-69.62395257587929,2411681
15,2,960.4141302473868,-279.38478374058843,318065
15,3,-302.3299563161407,-954.2264898924735,758156
16,1,-808.3998900447648,588.8159354779024,863121
16,2,-1000.286571605194,27.95100697875091,1975706
16,3,820.8986560372811,571.562416089396,1129194
18,1,-972.5003822476588,233.35598125231576,2233972
18,2,-740.9710413719747,671.6416335496767,737890
18,3,-940.7414939067979,341.2229354040785,751052
17,1,742.9582836220706,669.554404852959,1791944
17,2,299.01033752039064,954.3238701386882,575064
17,3,-486.057349928011,874.3992713855696,1225667
19,1,998.9369093336741,46.099560208539046,491360
19,2,279.82623733375004,-960.6338183583027,1119048
19,3,446.0801206467889,-895.4423916865574,2712707
20,1,508.5102731714127,861.4573962515511,1120320
20,2,980.3187797149262,-197.97692871323002,1245450
20,3,860.2507890326588,510.35037168327995,866420
27,1,167.82671328128944,986.1114152032407,617330
27,2,1000.0307219569991,-26.903796314417463,1029665
27,3,-83.44906003066815,-996.7813356536573,466837
9,1,487.18268151146293,-873.8439722693863,4496164
9,2,-1000.6952006158297,-1.7620301075141072,1378324
9,3,322.43844357548187,-946.625038753876,2114680
11,1,181.54354850829168,-983.6966938652785,696611
11,2,-399.5568629408541,-917.0817651574938,3533859
11,3,645.9777914486114,763.542057925649,4041150
26,1,754.5437065897102,657.2105487102424,947856
26,2,411.50353477184905,911.5045360033822,1236176
26,3,-965.9413599906425,-259.30202592795365,880557
21,1,-998.1006397647365,61.92217570152761,835506
21,2,121.49433990662041,992.7996910043355,1312041
21,3,931.1606581426443,365.934934785213,1785711
25,1,-961.5006687317795,-277.3856598914293,810962
25,2,996.6951140000808,-91.85603395730226,881052
25,3,188.6603083817605,-982.3467941111537,1720158
23,1,-1000.1365656914659,-10.808699615399505,1742665
23,2,174.67179416781931,984.9183806929816,684461
23,3,-735.3337333235486,678.4034071431458,855551
28,1,694.1702675992196,-720.5071368913243,527325
28,2,-129.94132656000818,992.1129979131288,815460
28,3,-39.221541316215564,999.8769348604785,797365
29,1,-664.7138971353612,-748.1635698837697,653011
29,2,-201.59655067713467,979.6669823603166,564161
29,3,918.3277279838638,396.87417119045836,421984
32,1,960.7560859671355,279.4256450004973,604067
32,2,-176.9035233583266,984.4989877282499,487691
32,3,57.14780394921398,-998.5060020686179,760294
24,1,-654.6754439688076,756.7913092122224,1498761
24,2,-185.36615188040005,983.0507651390635,1474627
24,3,601.6503823228987,798.946328219194,1916455
22,1,-968.6774518407012,-250.8523032808232,1140003
22,2,904.411585960974,-427.3078295784113,413670
22,3,732.0002216321362,682.583281030994,2785184
31,1,-192.82998320324552,981.2438510703038,890497
31,2,-983.3952795527348,-185.5239801220099,843549
31,3,862.4305754815358,506.30119367731965,723779
36,1,-843.2420127692869,-537.6763579634788,432322
36,2,968.8205378165186,248.00222597501514,765545
36,3,764.8023949108157,644.4616577294452,358984
35,1,986.2341273728551,166.23109962315158,514256
35,2,-564.3306693446975,826.7173338491738,540639
35,3,-1000.6082787543866,-5.882190681973896,1155556
30,1,-975.1251531472166,221.79884813321183,591681
30,2,-790.2458081499317,-612.9178421965867,1838121
30,3,687.8881096491953,-726.9115051690044,640800
37,1,842.3159254967205,-539.4361386825778,763726
37,2,-807.8014833138911,590.0443849693158,1409335
37,3,-328.71337469945814,-945.0134439462095,370890
42,1,545.5404700975225,838.342419183733,588758
42,2,417.78492354225176,-908.7459678246353,853159
42,3,1000.6622883015501,21.25167800075309,486528
33,1,978.2247844878224,209.41212645654247,1620133
33,2,378.20382643474375,-926.2862643402686,1299466
33,3,497.1715924103454,868.0166388971813,630786
38,1,-493.92505790920586,869.572508960834,1112800
38,2,-492.2869363779374,870.489962524433,1013938
38,3,211.11586446660192,-977.8719735792178,530715
43,1,-995.3299338037542,-98.42002215169941,1189348
43,2,907.7514783905779,421.4964561166647,563609
43,3,268.866605275231,963.2667692078146,639908
34,1,835.6179006715502,-550.5701199284692,1601945
34,2,629.1008688449957,777.4771278569434,2116346
34,3,220.022485146914,-976.345176098414,461236
44,1,-77.58822586061866,997.2629906630108,1045407
44,2,-346.3695129103269,-938.20767351594,314821
44,3,476.61714950803275,-879.2749799520144,648647
45,1,972.3135426445335,-234.20052297172913,536049
45,2,274.0116203856428,-962.5893118504252,927888
45,3,-938.4278700425049,346.2417050884661,801985
41,1,-999.6826018470679,45.095300284525415,2057974
41,2,-755.270630575503,656.7823778478148,955623
41,3,864.5497232843005,503.6543298258666,991150
39,1,461.6813250221899,-887.4073899767196,498679
39,2,-274.14108401263206,962.4741856446459,1494451
39,3,-697.1099227739826,717.1783309641021,2179097
47,1,-241.6112643495307,971.0100231461414,1410460
47,2,164.65274783143343,-986.8225604695392,463072
47,3,-887.3667765409268,461.46256712106293,316705
51,1,-271.87239425435047,962.8492315974163,477481
51,2,966.7141282255417,-256.4726740882694,853133
51,3,-655.8034767864204,-755.0456125021863,270623
49,1,548.8283743155757,836.1700259373165,383044
49,2,395.177479890501,918.6803377464956,1208005
49,3,-546.7205328028311,-837.8349445737958,718788
48,1,711.7403124619333,-702.7745748389545,653495
48,2,515.1875005472086,858.0474941026501,2010703
48,3,304.98316999724045,-952.3814004402241,304529
46,1,-15.322623475531302,1000.1959989563211,425012
46,2,-809.0645775702944,-588.1824326526315,1100558
46,3,-964.1085102877797,265.7143530786444,1396427
40,1,-430.888032900771,902.7419640471209,1412112
40,2,686.3525268906301,728.5231454450493,446812
40,3,558.3285103415403,-829.7353573470918,3201717
52,1,-700.0189756100492,-714.4704228753133,585886
52,2,-836.1266630885724,-549.3916645923322,183743
52,3,-504.80226460343374,-864.0592252724819,1214837
54,1,-472.0688186055977,882.0724896138794,613900
54,2,-258.89217896964715,-966.0113822765171,778764
54,3,834.9863268346571,550.9714382094093,593947
55,1,-63.40692192333945,-998.3837301953863,483617
55,2,-892.4632058076533,452.0246907962984,297603
55,3,-897.2484816753399,-441.9836680714062,846884
50,1,625.4007805425122,781.0102293783222,1636489
50,2,910.6001811912704,413.8132691994798,780479
50,3,1000.0131352699827,-33.14583753562802,1112168
57,1,211.96576189527994,-977.7838634738041,756478
57,2,-986.6481644640999,-163.20060329424857,417202
57,3,776.3221610495459,-630.495602380415,841690
64,1,466.26290003849215,885.0310899377367,309141
64,2,50.380107621520736,999.5994885200405,407881
64,3,999.4512245582965,-40.79291628931507,1015549
59,1,69.13091599662806,-997.9101775655088,659813
59,2,977.1215154698502,-215.76202724364686,812088
59,3,-999.9226013024729,26.38751059077427,1522656
53,1,537.2728214939947,843.6032823328012,2114515
53,2,14.424349751323433,-1000.0453243888246,1608969
53,3,694.8484160472599,720.3122719703142,350934
63,1,845.9474616457655,534.2146674854425,1236927
63,2,102.21949582084804,994.7625121371746,364707
63,3,816.6380209562019,-577.6381645854843,932515
61,1,-665.4597193901726,746.8573826878829,1554383
61,2,814.9799920379284,-579.53420682133,410822
61,3,351.26154590563243,936.3566255721598,1074605
62,1,379.8656352903869,925.3277940502635,1874631
62,2,-991.8598042971715,129.09341075143476,882793
62,3,-404.64138757910155,914.4795578702076,1189868
69,1,-949.7942610325251,313.2042944624529,379819
69,2,889.3959817168936,-457.6062528547019,295116
69,3,84.70180202681794,996.6642345092546,561606
56,1,-727.0982582930059,687.9122041969376,1499197
56,2,-673.3146717122208,739.9962367110307,2207331
56,3,-982.384812741723,189.00150126811582,1676676
66,1,175.0577859063637,-985.2306130850602,1878875
66,2,-586.7578248262381,-810.4533386337885,565591
66,3,998.9051481429506,-51.37940738149295,473740
58,1,-977.478355941799,-213.14938913808163,1187443
58,2,920.7227993546885,-391.34509596747137,2680397
58,3,497.41876249962826,868.2724735707898,1039070
60,1,-444.71952686212626,-896.4386542369964,2950168
60,2,334.36174370785375,943.1129694403855,940907
60,3,-390.4320816047875,-920.8934396644797,815442
76,1,998.5366923840058,56.86918595407186,428535
76,2,174.60998158028082,-985.1211828377758,393760
76,3,991.945733664697,128.55523004050988,180117
